x-axis,IN,OUT
second,Volt,Volt
-54.86000E+00,-109.38E-03,-4.21094E+00
-54.84000E+00,-119.14E-03,-4.14258E+00
-54.82000E+00,-128.91E-03,-4.08398E+00
-54.80000E+00,-128.91E-03,-4.02539E+00
-54.78000E+00,-138.67E-03,-3.95703E+00
-54.76000E+00,-148.44E-03,-3.89844E+00
-54.74000E+00,-158.20E-03,-3.82031E+00
-54.72000E+00,-167.97E-03,-3.75195E+00
-54.70000E+00,-167.97E-03,-3.69336E+00
-54.68000E+00,-177.73E-03,-3.63477E+00
-54.66000E+00,-177.73E-03,-3.56641E+00
-54.64000E+00,-187.50E-03,-3.48828E+00
-54.62000E+00,-197.27E-03,-3.41992E+00
-54.60000E+00,-207.03E-03,-3.35156E+00
-54.58000E+00,-207.03E-03,-3.29297E+00
-54.56000E+00,-216.80E-03,-3.22461E+00
-54.54000E+00,-226.56E-03,-3.17578E+00
-54.52000E+00,-226.56E-03,-3.11719E+00
-54.50000E+00,-236.33E-03,-3.05859E+00
-54.48000E+00,-246.09E-03,-3.00000E+00
-54.46000E+00,-246.09E-03,-2.94141E+00
-54.44000E+00,-255.86E-03,-2.88281E+00
-54.42000E+00,-265.63E-03,-2.81445E+00
-54.40000E+00,-275.39E-03,-2.75586E+00
-54.38000E+00,-285.16E-03,-2.67773E+00
-54.36000E+00,-285.16E-03,-2.61914E+00
-54.34000E+00,-294.92E-03,-2.55078E+00
-54.32000E+00,-294.92E-03,-2.49219E+00
-54.30000E+00,-304.69E-03,-2.41406E+00
-54.28000E+00,-314.45E-03,-2.35547E+00
-54.26000E+00,-314.45E-03,-2.28711E+00
-54.24000E+00,-324.22E-03,-2.21875E+00
-54.22000E+00,-333.98E-03,-2.15039E+00
-54.20000E+00,-343.75E-03,-2.08203E+00
-54.18000E+00,-343.75E-03,-2.01367E+00
-54.16000E+00,-353.52E-03,-1.94531E+00
-54.14000E+00,-363.28E-03,-1.88672E+00
-54.12000E+00,-363.28E-03,-1.82812E+00
-54.10000E+00,-373.05E-03,-1.76953E+00
-54.08000E+00,-382.81E-03,-1.70117E+00
-54.06000E+00,-392.58E-03,-1.64258E+00
